,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds
count,432.0,432.0,426.0,426.0,426.0,426.0,432.0,432.0,411.0,399.0,399.0,432.0,399.0,432.0,432.0,432.0
mean,1.2337608796296313,68.80799953703719,80.95315148859683,50.192136150234745,189.527117370892,2.9225352112676055,1.6157407407407407,8.055555555555555,-13.18147469586377,242.48831453634048,455.4663176699654,518.8083333333335,1176.6988596491235,37.074074074074076,16.662037037037038,7.099537037037037
std,1.4159063493341002,148.53691296418987,39.09196633214343,38.14508015631908,94.18836044527865,2.4177985426571205,1.5948095646433378,40.015909442462345,4.572388206262981,26.679234192389337,46.39377652259174,104.90144589476397,106.54287020803453,6.1947567136732715,9.024156471226913,4.212102744467137
min,-4.756,0.0,23.78338227429922,0.0,58.085,0.0,0.0,0.0,-23.6992,195.80039999999968,372.1301572506171,329.7,972.8460000000013,28.0,0.0,0.0
25%,0.36909999999999976,34.6588,53.704124215596465,20.23,126.62599999999998,1.0,0.0,0.0,-15.981000000000027,228.4337999999996,433.9237704990695,474.90000000000015,1134.9870000000014,35.0,18.0,6.0
50%,1.2503999999999995,44.23600000000002,68.5762143981803,40.13,154.253,2.0,1.0,3.0,-15.23060000000003,229.10309999999959,434.4694274438861,554.0500000000002,1135.0110000000013,35.0,21.0,7.0
75%,2.1935,57.37622500000001,92.71748757956762,65.805,223.228,4.0,3.0,5.0,-13.054800000000027,261.0671999999995,484.62087414908063,561.4600000000003,1273.0315000000014,40.0,23.0,8.0
max,5.954000000000006,1309.6657000000105,205.2700070636171,162.26000000000005,466.67000000000013,10.0,10.0,344.0,2.7206000000000063,283.6640000000002,533.6447826134475,909.3400000000006,1329.119999999999,58.0,34.0,20.0
skewness,-0.1789352525568374,7.9596234425963885,1.297103562948262,1.2698245338704601,1.3240974648868449,1.4168016485503026,1.1889642793177295,8.218718849253737,1.3515013078962475,-0.08156559408743058,-0.06186301430248481,0.628827681599766,-0.33968365906107495,1.2780724473289464,-0.9500905974017146,0.4704534363292024
kurtosis,5.323253428408606,66.18373970049747,3.75799149742923,4.043928757928121,3.817562835137304,4.138732173311243,4.520520013688357,69.04055894394172,5.491276924723317,2.1751563086865713,2.4853025508916753,5.2822681767180235,2.490334623230541,4.366625226413889,2.614961995476332,4.475557375917787
