,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1)
count,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
mean,6.92093023255814,25.0,1.9043604651162789,96.82833255813958,153.69963716663656,110.55093023255814,365.8350232558141,7.023255813953488,3.3255813953488373,7.395348837209302,47.16279069767442,-0.09302325581395349,-17.406399999999998,261.0671999999995,495.7173837475216,633.2000000000006,1297.1280000000022,40.0,24.0,8.0,168.0
std,0.07733088933396999,0.0,0.7191603927794106,14.247635225466802,22.663641454627676,22.74739711053861,51.07242242825308,1.4390534602899698,1.2482545953785715,2.048687557620394,8.228667173677005,0.3660570791018469,7.189518182359756e-15,0.0,1.150322909177561e-13,3.450968727532683e-13,6.901937455065366e-13,0.0,0.0,0.0,0.0
min,6.9,25.0,0.6480000000000004,51.91120000000002,81.7417036612728,57.2,207.23,3.0,0.0,1.0,21.0,-2.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0
25%,6.9,25.0,1.2514999999999996,93.76570000000004,147.25993999553975,95.94,347.3705000000001,6.5,2.5,7.0,44.5,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0
50%,6.9,25.0,1.819,99.12800000000004,156.90010388978413,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0
75%,6.9,25.0,2.5997000000000003,106.06750000000004,168.83412845164347,120.52,396.44300000000015,8.0,4.0,8.0,53.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0
max,7.2,25.0,3.0900000000000016,119.2086,188.8672552405821,162.26000000000005,452.46700000000016,10.0,5.0,11.0,57.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0
skewness,3.3776224379485877,0.0,0.05368320920635584,-1.5851988326197715,-1.4847806300779065,0.1000673309715813,-1.1660476551297998,-0.28349734666013277,-0.7110382166010822,-1.5542345075829784,-1.8054737810858246,-4.123107234251537,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
kurtosis,12.40833333333361,0.0,1.6841029593042889,5.5382674435504295,5.391218393255966,3.0844633610559424,4.728815082653196,3.853709857302181,3.31993777684832,6.451022270800121,6.1211622582894,19.79519841540878,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
